Date,IDEX
1/3/2017,1.25
1/4/2017,1.27
1/5/2017,1.29
1/6/2017,1.24
1/9/2017,1.24
1/10/2017,1.22
1/11/2017,1.24
1/12/2017,1.24
1/13/2017,1.23
1/17/2017,1.23
1/18/2017,1.2
1/19/2017,1.17
1/20/2017,1.2
1/23/2017,1.18
1/24/2017,1.19
1/25/2017,1.19
1/26/2017,1.17
1/27/2017,1.15
1/30/2017,1.17
1/31/2017,1.15
2/1/2017,1.24
2/2/2017,1.29
2/3/2017,1.3
2/6/2017,1.34
2/7/2017,1.58
2/8/2017,1.86
2/9/2017,1.8
2/10/2017,1.84
2/13/2017,1.82
2/14/2017,1.78
2/15/2017,1.5
2/16/2017,1.5
2/17/2017,1.61
2/21/2017,1.69
2/22/2017,1.63
2/23/2017,1.6
2/24/2017,1.62
2/27/2017,1.72
2/28/2017,1.8
3/1/2017,1.92
3/2/2017,2
3/3/2017,2.13
3/6/2017,2.24
3/7/2017,1.98
3/8/2017,2.08
3/9/2017,1.94
3/10/2017,1.99
3/13/2017,1.98
3/14/2017,1.95
3/15/2017,2.06
3/16/2017,2
3/17/2017,2.1
3/20/2017,2.13
3/21/2017,2.05
3/22/2017,2.04
3/23/2017,2.1
3/24/2017,2.16
3/27/2017,2.13
3/28/2017,2.08
3/29/2017,2.08
3/30/2017,2.16
3/31/2017,2.07
4/3/2017,2.23
4/4/2017,2.28
4/5/2017,2.6
4/6/2017,2.7
4/7/2017,2.68
4/10/2017,2.53
4/11/2017,2.63
4/12/2017,2.8
4/13/2017,2.61
4/17/2017,2.56
4/18/2017,2.61
4/19/2017,2.69
4/20/2017,2.76
4/21/2017,2.82
4/24/2017,2.9
4/25/2017,3.24
4/26/2017,3.15
4/27/2017,3.24
4/28/2017,2.99
5/1/2017,2.96
5/2/2017,2.85
5/3/2017,2.87
5/4/2017,2.9
5/5/2017,2.99
5/8/2017,3.15
5/9/2017,3.1
5/10/2017,2.97
5/11/2017,3.11
5/12/2017,3.22
5/15/2017,3.1
5/16/2017,2.8
5/17/2017,2.7
5/18/2017,2.7
5/19/2017,2.79
5/22/2017,2.86
5/23/2017,2.91
5/24/2017,2.9
5/25/2017,2.9
5/26/2017,2.81
5/30/2017,2.75
5/31/2017,2.64
6/1/2017,2.64
6/2/2017,2.62
6/5/2017,2.37
6/6/2017,2.26
6/7/2017,2.24
6/8/2017,2.26
6/9/2017,2.31
6/12/2017,2.51
6/13/2017,2.37
6/14/2017,2
6/15/2017,2.04
6/16/2017,2.1
6/19/2017,1.93
6/20/2017,1.97
6/21/2017,1.99
6/22/2017,1.91
6/23/2017,1.86
6/26/2017,1.77
6/27/2017,1.72
6/28/2017,1.79
6/29/2017,1.78
6/30/2017,1.77
7/3/2017,1.78
7/5/2017,1.74
7/6/2017,1.78
7/7/2017,1.8
7/10/2017,1.78
7/11/2017,1.75
7/12/2017,1.75
7/13/2017,1.75
7/14/2017,1.86
7/17/2017,1.9
7/18/2017,1.86
7/19/2017,1.9
7/20/2017,2.1
7/21/2017,2.03
7/24/2017,2.01
7/25/2017,2.01
7/26/2017,2.07
7/27/2017,2.17
7/28/2017,2.12
7/31/2017,2.04
8/1/2017,2.01
8/2/2017,1.91
8/3/2017,1.91
8/4/2017,1.9
8/7/2017,1.92
8/8/2017,1.9
8/9/2017,1.82
8/10/2017,1.86
8/11/2017,1.87
8/14/2017,1.61
8/15/2017,1.57
8/16/2017,1.58
8/17/2017,1.46
8/18/2017,1.5
8/21/2017,1.45
8/22/2017,1.45
8/23/2017,1.5
8/24/2017,1.57
8/25/2017,1.59
8/28/2017,1.58
8/29/2017,1.52
8/30/2017,1.55
8/31/2017,1.45
9/1/2017,1.5
9/5/2017,1.47
9/6/2017,1.52
9/7/2017,1.51
9/8/2017,1.47
9/11/2017,1.47
9/12/2017,1.45
9/13/2017,1.39
9/14/2017,1.4
9/15/2017,1.41
9/18/2017,1.38
9/19/2017,1.4
9/20/2017,1.57
9/21/2017,1.74
9/22/2017,2.21
9/25/2017,2.05
9/26/2017,2.64
9/27/2017,2.53
9/28/2017,2.67
9/29/2017,2.65
10/2/2017,2.55
10/3/2017,2.29
10/4/2017,2.3
10/5/2017,2.29
10/6/2017,2.12
10/9/2017,2.14
10/10/2017,2.41
10/11/2017,2.41
10/12/2017,2.37
10/13/2017,2.4
10/16/2017,2.33
10/17/2017,2.28
10/18/2017,2.3
10/19/2017,2.22
10/20/2017,2.18
10/23/2017,2.27
10/24/2017,2.21
10/25/2017,2.06
10/26/2017,1.98
10/27/2017,1.91
10/30/2017,1.79
10/31/2017,2.02
11/1/2017,1.91
11/2/2017,1.88
11/3/2017,1.91
11/6/2017,2.23
11/7/2017,2.21
11/8/2017,2.25
11/9/2017,2.24
11/10/2017,2.06
11/13/2017,2.09
11/14/2017,2.07
11/15/2017,2.09
11/16/2017,2.05
11/17/2017,2.18
11/20/2017,2.18
11/21/2017,2.48
11/22/2017,2.49
11/24/2017,3.14
11/27/2017,2.99
11/28/2017,2.74
11/29/2017,2.77
11/30/2017,2.65
12/1/2017,2.59
12/4/2017,2.52
12/5/2017,2.39
12/6/2017,2.35
12/7/2017,2.53
12/8/2017,2.45
12/11/2017,3.61
12/12/2017,3.47
12/13/2017,3.3
12/14/2017,3.3
12/15/2017,4.2
12/18/2017,4.82
12/19/2017,4.33
12/20/2017,5.57
12/21/2017,5.3
12/22/2017,5.34
12/26/2017,5.92
12/27/2017,5.18
12/28/2017,4.78
12/29/2017,4.61
1/2/2018,4.85
1/3/2018,4.55
1/4/2018,4.23
1/5/2018,4.31
1/8/2018,4.15
1/9/2018,4.29
1/10/2018,4.68
1/11/2018,4.83
1/12/2018,4.97
1/16/2018,4.29
1/17/2018,4.63
1/18/2018,4.53
1/19/2018,4.4
1/22/2018,4.56
1/23/2018,4.38
1/24/2018,4.29
1/25/2018,4.13
1/26/2018,3.51
1/29/2018,3.44
1/30/2018,3.38
1/31/2018,3.17
2/1/2018,3.19
2/2/2018,3.32
2/5/2018,3.13
2/6/2018,3.1
2/7/2018,3.19
2/8/2018,3.02
2/9/2018,2.87
2/12/2018,2.95
2/13/2018,3.24
2/14/2018,3.4
2/15/2018,3.32
2/16/2018,3.17
2/20/2018,2.99
2/21/2018,2.87
2/22/2018,2.8
2/23/2018,1.7
2/26/2018,1.75
2/27/2018,1.67
2/28/2018,1.55
3/1/2018,1.46
3/2/2018,1.66
3/5/2018,1.73
3/6/2018,1.76
3/7/2018,1.73
3/8/2018,1.74
3/9/2018,1.64
3/12/2018,1.69
3/13/2018,1.98
3/14/2018,1.78
3/15/2018,1.72
3/16/2018,1.76
3/19/2018,1.71
3/20/2018,1.68
3/21/2018,1.76
3/22/2018,1.83
3/23/2018,1.93
3/26/2018,2.33
3/27/2018,2.25
3/28/2018,2.18
3/29/2018,2.13
4/2/2018,2.6
4/3/2018,3.01
4/4/2018,2.76
4/5/2018,2.9
4/6/2018,3.05
4/9/2018,3.15
4/10/2018,2.94
4/11/2018,2.92
4/12/2018,2.97
4/13/2018,2.9
4/16/2018,2.92
4/17/2018,2.9
4/18/2018,2.85
4/19/2018,2.77
4/20/2018,2.68
4/23/2018,2.64
4/24/2018,2.52
4/25/2018,2.42
4/26/2018,2.56
4/27/2018,2.68
4/30/2018,2.69
5/1/2018,2.63
5/2/2018,2.85
5/3/2018,2.78
5/4/2018,2.79
5/7/2018,2.77
5/8/2018,2.91
5/9/2018,3.01
5/10/2018,3.04
5/11/2018,2.95
5/14/2018,2.95
5/15/2018,2.94
5/16/2018,2.9
5/17/2018,2.86
5/18/2018,2.77
5/21/2018,2.73
5/22/2018,2.53
5/23/2018,2.53
5/24/2018,2.53
5/25/2018,2.5
5/29/2018,2.48
5/30/2018,2.33
5/31/2018,2.34
6/1/2018,2.42
6/4/2018,2.37
6/5/2018,2.44
6/6/2018,2.4
6/7/2018,2.15
6/8/2018,2.23
6/11/2018,2.14
6/12/2018,1.99
6/13/2018,1.94
6/14/2018,1.94
6/15/2018,1.9
6/18/2018,1.86
6/19/2018,1.86
6/20/2018,2.02
6/21/2018,1.93
6/22/2018,1.82
6/25/2018,1.79
6/26/2018,1.88
6/27/2018,1.94
6/28/2018,1.9
6/29/2018,1.88
7/2/2018,1.78
7/3/2018,1.95
7/5/2018,2.03
7/6/2018,2.19
7/9/2018,2.41
7/10/2018,2.17
7/11/2018,2.25
7/12/2018,2.16
7/13/2018,2.2
7/16/2018,2.12
7/17/2018,2.18
7/18/2018,2.17
7/19/2018,2.3
7/20/2018,2.38
7/23/2018,2.65
7/24/2018,2.58
7/25/2018,2.46
7/26/2018,2.4
7/27/2018,2.37
7/30/2018,2.19
7/31/2018,2.36
8/1/2018,2.38
8/2/2018,2.38
8/3/2018,2.36
8/6/2018,2.32
8/7/2018,2.15
8/8/2018,2.15
8/9/2018,2.32
8/10/2018,2.48
8/13/2018,2.2
8/14/2018,2.02
8/15/2018,2.01
8/16/2018,1.98
8/17/2018,1.97
8/20/2018,3.02
8/21/2018,3.03
8/22/2018,3.41
8/23/2018,3.9
8/24/2018,5.42
8/27/2018,4.95
8/28/2018,4.05
8/29/2018,4.04
8/30/2018,4.17
8/31/2018,4.02
9/4/2018,4.35
9/5/2018,4.16
9/6/2018,4.31
9/7/2018,4.3
9/10/2018,4.47
9/11/2018,5
9/12/2018,5.01
9/13/2018,4.71
9/14/2018,4.95
9/17/2018,4.68
9/18/2018,4.38
9/19/2018,4.41
9/20/2018,4.61
9/21/2018,4.66
9/24/2018,4.42
9/25/2018,4.39
9/26/2018,4.1
9/27/2018,3.92
9/28/2018,3.79
10/1/2018,3.78
10/2/2018,3.82
10/3/2018,3.82
10/4/2018,3.48
10/5/2018,3.45
10/8/2018,3.1
10/9/2018,3.45
10/10/2018,3.1
10/11/2018,3.13
10/12/2018,3.22
10/15/2018,3.25
10/16/2018,3.44
10/17/2018,3.53
10/18/2018,3.93
10/19/2018,3.74
10/22/2018,3.48
10/23/2018,3.27
10/24/2018,3.22
10/25/2018,3.32
10/26/2018,3.28
10/29/2018,2.87
10/30/2018,2.87
10/31/2018,3.16
11/1/2018,3.12
