Date,AMZN,Date,BP,Date,DIS,Date,NYMT
1/2/2015,308.52,1/2/2015,38.12,1/2/2015,93.75,1/2/2015,7.85
1/5/2015,302.19,1/5/2015,36.1,1/5/2015,92.38,1/5/2015,7.88
1/6/2015,295.29,1/6/2015,35.83,1/6/2015,91.89,1/6/2015,7.87
1/7/2015,298.42,1/7/2015,35.92,1/7/2015,92.83,1/7/2015,7.86
1/8/2015,300.46,1/8/2015,36.73,1/8/2015,93.79,1/8/2015,7.83
1/9/2015,296.93,1/9/2015,36.58,1/9/2015,94.25,1/9/2015,7.84
1/12/2015,291.41,1/12/2015,36.05,1/12/2015,94.46,1/12/2015,7.82
1/13/2015,294.74,1/13/2015,35.96,1/13/2015,95.19,1/13/2015,7.72
1/14/2015,293.27,1/14/2015,35.67,1/14/2015,94.23,1/14/2015,7.71
1/15/2015,286.95,1/15/2015,35.73,1/15/2015,94.35,1/15/2015,7.66
1/16/2015,290.74,1/16/2015,37.86,1/16/2015,95.18,1/16/2015,7.75
1/20/2015,289.44,1/20/2015,37.69,1/20/2015,94.74,1/20/2015,7.73
1/21/2015,297.25,1/21/2015,38.82,1/21/2015,94.17,1/21/2015,7.78
1/22/2015,310.32,1/22/2015,38.98,1/22/2015,95.15,1/22/2015,7.87
1/23/2015,312.39,1/23/2015,38.9,1/23/2015,94.72,1/23/2015,7.81
1/26/2015,309.66,1/26/2015,39.92,1/26/2015,94.97,1/26/2015,7.88
1/27/2015,306.75,1/27/2015,40.21,1/27/2015,93.97,1/27/2015,7.91
1/28/2015,303.91,1/28/2015,38.88,1/28/2015,92.67,1/28/2015,7.86
1/29/2015,311.78,1/29/2015,38.75,1/29/2015,93.22,1/29/2015,7.85
1/30/2015,354.53,1/30/2015,38.83,1/30/2015,90.96,1/30/2015,7.74
2/2/2015,364.47,2/2/2015,39.86,2/2/2015,91.93,2/2/2015,7.58
2/3/2015,363.55,2/3/2015,41.1,2/3/2015,94.1,2/3/2015,7.61
2/4/2015,364.75,2/4/2015,40.45,2/4/2015,101.28,2/4/2015,7.49
2/5/2015,373.89,2/5/2015,41.38,2/5/2015,102.64,2/5/2015,7.61
2/6/2015,374.28,2/6/2015,41.17,2/6/2015,102.02,2/6/2015,7.52
2/9/2015,370.56,2/9/2015,41.61,2/9/2015,101.73,2/9/2015,7.49
2/10/2015,373,2/10/2015,41.25,2/10/2015,101.92,2/10/2015,7.48
2/11/2015,375.14,2/11/2015,40.35,2/11/2015,101.87,2/11/2015,7.6
2/12/2015,377.17,2/12/2015,41.34,2/12/2015,103.58,2/12/2015,7.7
2/13/2015,381.83,2/13/2015,41.93,2/13/2015,104.17,2/13/2015,7.75
2/17/2015,375.43,2/17/2015,41.78,2/17/2015,104.12,2/17/2015,7.78
2/18/2015,373.37,2/18/2015,41.75,2/18/2015,103.86,2/18/2015,7.79
2/19/2015,379,2/19/2015,41.19,2/19/2015,103.89,2/19/2015,7.79
2/20/2015,383.66,2/20/2015,41.28,2/20/2015,104.55,2/20/2015,7.79
2/23/2015,380.14,2/23/2015,41.22,2/23/2015,104.99,2/23/2015,7.84
2/24/2015,378.59,2/24/2015,41.59,2/24/2015,104.67,2/24/2015,7.69
2/25/2015,385.37,2/25/2015,41.91,2/25/2015,105.57,2/25/2015,7.86
2/26/2015,384.8,2/26/2015,41.36,2/26/2015,104.56,2/26/2015,7.87
2/27/2015,380.16,2/27/2015,41.44,2/27/2015,104.08,2/27/2015,7.9
3/2/2015,385.66,3/2/2015,41.3,3/2/2015,105.89,3/2/2015,7.86
3/3/2015,384.61,3/3/2015,41.74,3/3/2015,106.35,3/3/2015,7.85
3/4/2015,382.72,3/4/2015,41.53,3/4/2015,105.57,3/4/2015,7.92
3/5/2015,387.83,3/5/2015,41.18,3/5/2015,105.03,3/5/2015,7.92
3/6/2015,380.09,3/6/2015,40.35,3/6/2015,103.82,3/6/2015,7.8
3/9/2015,378.56,3/9/2015,40.28,3/9/2015,105.26,3/9/2015,7.84
3/10/2015,369.51,3/10/2015,39.04,3/10/2015,103.09,3/10/2015,7.83
3/11/2015,366.37,3/11/2015,38.23,3/11/2015,102.89,3/11/2015,7.8
3/12/2015,374.24,3/12/2015,38.16,3/12/2015,107.17,3/12/2015,7.9
3/13/2015,370.58,3/13/2015,37.6,3/13/2015,106.44,3/13/2015,7.88
3/16/2015,373.35,3/16/2015,37.55,3/16/2015,107.37,3/16/2015,7.9
3/17/2015,371.92,3/17/2015,37.82,3/17/2015,106.96,3/17/2015,7.89
3/18/2015,375.14,3/18/2015,39.35,3/18/2015,107.97,3/18/2015,8.01
3/19/2015,373.24,3/19/2015,38.97,3/19/2015,107.37,3/19/2015,8.01
3/20/2015,378.49,3/20/2015,40.1,3/20/2015,108.43,3/20/2015,8.11
3/23/2015,375.11,3/23/2015,40.14,3/23/2015,108.22,3/23/2015,8.06
